Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
DataTech Solutions,Search,All Ages,15 days,0.06,9846.0,2.34,Seattle,French,493,6433,4,Health & Wellness,2022-07-28
Alpha Innovations,Display,Men 25-34,30 days,0.11,11445.67,3.03,Miami,Spanish,1971,17921,1,Fashionistas,2022-07-04
Innovate Industries,Email,Men 25-34,60 days,0.08,7121.03,2.74,Washington,Spanish,961,12027,10,Outdoor Adventurers,2022-07-14
TechCorp,Social Media,Women 25-34,60 days,0.08,6717.49,7.89,Washington,German,913,17538,8,Foodies,2022-07-17
TechCorp,Search,All Ages,60 days,0.03,11236.2,7.94,Boston,Mandarin,1057,16173,7,Health & Wellness,2022-07-18
NexGen Systems,Display,Women 25-34,45 days,0.07,14550.02,3.25,Miami,German,277,11794,5,Fashionistas,2022-07-27
NexGen Systems,Email,Women 25-34,60 days,0.1,9440.91,3.53,Seattle,Spanish,1816,13983,1,Foodies,2022-07-30
TechCorp,Search,Men 18-24,45 days,0.04,5847.31,5.35,Washington,French,1437,13491,9,Foodies,2022-07-02
TechCorp,Social Media,Men 18-24,30 days,0.11,19230.8,4.75,Washington,English,1616,7688,6,Health & Wellness,2022-07-02
Innovate Industries,Display,Men 18-24,30 days,0.12,13818.88,4.06,Boston,Mandarin,1402,4675,5,Outdoor Adventurers,2022-07-09
Alpha Innovations,Social Media,Men 18-24,60 days,0.12,17651.57,4.51,Las Vegas,German,220,13602,1,Health & Wellness,2022-07-12
DataTech Solutions,Email,All Ages,30 days,0.07,17054.76,2.68,New York,English,777,18790,10,Health & Wellness,2022-07-13
NexGen Systems,Display,Women 25-34,60 days,0.05,7705.81,2.93,Chicago,Mandarin,1604,1138,9,Foodies,2022-07-18
NexGen Systems,Display,All Ages,15 days,0.11,15535.08,7.52,New York,French,1321,9460,4,Fashionistas,2022-07-13
Innovate Industries,Email,Men 18-24,45 days,0.12,15812.48,5.84,Boston,English,1450,11415,4,Health & Wellness,2022-07-08
DataTech Solutions,Social Media,Women 25-34,45 days,0.03,14467.22,2.69,Miami,English,1347,8053,1,Outdoor Adventurers,2022-07-03
Innovate Industries,Email,Women 35-44,60 days,0.12,11188.91,3.78,San Francisco,Spanish,1180,2651,2,Tech Enthusiasts,2022-07-30
Innovate Industries,Search,Men 25-34,30 days,0.12,16862.78,7.98,Washington,French,900,8514,7,Foodies,2022-07-16
Alpha Innovations,Display,Men 25-34,60 days,0.12,18085.72,4.21,New York,English,1093,18547,4,Foodies,2022-07-19
Innovate Industries,Influencer,Men 25-34,30 days,0.14,16577.51,4.06,Washington,Spanish,1277,15028,5,Tech Enthusiasts,2022-07-21
NexGen Systems,Influencer,Women 35-44,30 days,0.1,6773.2,2.61,Seattle,English,845,16550,5,Foodies,2022-07-04
DataTech Solutions,Display,Men 18-24,30 days,0.11,12251.84,5.72,Chicago,German,672,15124,7,Outdoor Adventurers,2022-07-08
Alpha Innovations,Email,Women 35-44,30 days,0.06,19616.21,3.56,Seattle,Spanish,555,6152,1,Tech Enthusiasts,2022-07-07
Alpha Innovations,Social Media,All Ages,60 days,0.04,14674.24,7.73,Seattle,Mandarin,384,12117,6,Outdoor Adventurers,2022-07-19
DataTech Solutions,Influencer,Men 18-24,30 days,0.12,15363.47,4.9,Boston,Mandarin,1133,2344,4,Fashionistas,2022-07-10
NexGen Systems,Search,Men 18-24,60 days,0.02,19836.48,5.14,Washington,German,728,15684,1,Outdoor Adventurers,2022-07-11
Innovate Industries,Search,Women 35-44,15 days,0.06,7934.93,2.52,San Francisco,Mandarin,590,13936,4,Health & Wellness,2022-07-13
NexGen Systems,Social Media,Men 18-24,45 days,0.13,5194.15,5.67,San Francisco,German,211,16781,8,Tech Enthusiasts,2022-07-29
TechCorp,Email,Women 25-34,15 days,0.14,5113.5,4.77,Nueva Orleans,Mandarin,282,12899,5,Foodies,2022-07-05
Innovate Industries,Display,All Ages,45 days,0.13,12487.37,3.51,Las Vegas,German,1275,3157,2,Outdoor Adventurers,2022-07-10
Innovate Industries,Social Media,All Ages,60 days,0.13,12966.09,5.61,Las Vegas,Mandarin,896,19211,10,Fashionistas,2022-07-29
DataTech Solutions,Email,Women 25-34,60 days,0.04,18593.86,2.85,Los Angeles,Mandarin,840,12825,10,Outdoor Adventurers,2022-07-03
Innovate Industries,Search,All Ages,15 days,0.08,11967.96,4.77,Las Vegas,Mandarin,1847,5771,5,Tech Enthusiasts,2022-07-23
Alpha Innovations,Social Media,Women 35-44,15 days,0.03,15178.93,7.69,Chicago,English,1336,17816,7,Health & Wellness,2022-07-04
Innovate Industries,Search,All Ages,30 days,0.13,6159.47,6.37,Seattle,French,550,6390,7,Fashionistas,2022-07-14
Innovate Industries,Search,Men 25-34,15 days,0.03,12948.19,5.57,Chicago,Spanish,990,4588,9,Foodies,2022-07-30
Alpha Innovations,Search,All Ages,45 days,0.1,19577.19,4.29,Las Vegas,French,1974,11854,4,Health & Wellness,2022-07-04
DataTech Solutions,Influencer,Men 18-24,60 days,0.13,16348.76,4.07,Boston,French,519,13137,6,Fashionistas,2022-07-04
Alpha Innovations,Email,Women 25-34,45 days,0.14,5012.19,2.96,Las Vegas,Mandarin,1944,6623,3,Tech Enthusiasts,2022-07-14
NexGen Systems,Social Media,All Ages,60 days,0.04,18751.61,7.77,Las Vegas,English,1028,11423,4,Health & Wellness,2022-07-25
Innovate Industries,Social Media,Men 18-24,60 days,0.02,5009.4,7.02,Miami,Mandarin,1420,8921,9,Fashionistas,2022-07-08
DataTech Solutions,Email,Men 25-34,15 days,0.12,19364.14,2.07,Nueva Orleans,Spanish,543,6602,3,Fashionistas,2022-07-24
NexGen Systems,Social Media,Men 25-34,45 days,0.12,6532.85,6.23,Seattle,Spanish,1518,19562,3,Health & Wellness,2022-07-24
TechCorp,Influencer,Men 25-34,45 days,0.08,14542.73,3.13,Las Vegas,English,400,16143,7,Outdoor Adventurers,2022-07-10
DataTech Solutions,Email,Men 18-24,15 days,0.02,16851.32,3.8,San Francisco,German,1629,10754,8,Foodies,2022-07-16
NexGen Systems,Social Media,All Ages,15 days,0.04,8016.35,3.92,Boston,French,1514,12457,3,Foodies,2022-07-23
Alpha Innovations,Search,Women 25-34,60 days,0.02,8710.12,3.25,Los Angeles,Spanish,905,16343,3,Outdoor Adventurers,2022-07-26
Innovate Industries,Email,All Ages,15 days,0.04,17706.68,4.73,Washington,German,374,11881,10,Outdoor Adventurers,2022-07-11
NexGen Systems,Influencer,All Ages,15 days,0.09,15109.2,4.55,Nueva Orleans,Mandarin,1824,8503,9,Fashionistas,2022-07-08
NexGen Systems,Influencer,Women 35-44,15 days,0.1,5358.81,5.35,Washington,English,937,5157,7,Outdoor Adventurers,2022-07-14
Innovate Industries,Display,Women 35-44,30 days,0.1,17315.6,5.51,Washington,French,967,1967,8,Health & Wellness,2022-07-28
Alpha Innovations,Social Media,All Ages,60 days,0.08,16777.11,5.02,Chicago,German,567,11614,9,Fashionistas,2022-07-20
Alpha Innovations,Search,Men 18-24,15 days,0.14,13267.28,4.46,Los Angeles,English,1404,7675,5,Outdoor Adventurers,2022-07-03
NexGen Systems,Social Media,All Ages,30 days,0.14,9990.65,4.52,Boston,English,757,9452,8,Health & Wellness,2022-07-23
DataTech Solutions,Display,Women 35-44,45 days,0.14,11628.45,2.15,New York,Spanish,870,2799,4,Outdoor Adventurers,2022-07-20
NexGen Systems,Email,Men 25-34,60 days,0.09,18634.83,6.12,Las Vegas,German,1699,18531,4,Tech Enthusiasts,2022-07-22
DataTech Solutions,Email,Men 18-24,60 days,0.09,18947.84,7.42,Nueva Orleans,Mandarin,1094,3909,6,Outdoor Adventurers,2022-07-15
DataTech Solutions,Email,Women 25-34,45 days,0.06,12105.32,3.31,Seattle,German,1384,15855,7,Foodies,2022-07-11
Innovate Industries,Email,All Ages,45 days,0.07,11386.25,2.58,Seattle,French,1831,13762,7,Health & Wellness,2022-07-30
NexGen Systems,Search,Men 18-24,30 days,0.09,9905.53,2.62,New York,Spanish,1609,10715,8,Fashionistas,2022-07-01
DataTech Solutions,Email,Men 25-34,30 days,0.06,5740.58,3.05,Boston,Mandarin,571,11254,9,Foodies,2022-07-30
TechCorp,Social Media,Women 25-34,30 days,0.03,11834.55,2.89,Miami,Spanish,1927,6789,1,Tech Enthusiasts,2022-07-25
Innovate Industries,Search,Women 25-34,30 days,0.04,14012.13,7.97,Boston,Mandarin,1560,7382,3,Fashionistas,2022-07-03
TechCorp,Influencer,Men 18-24,60 days,0.03,11336.88,4.83,Seattle,Spanish,395,6708,9,Outdoor Adventurers,2022-07-15
Alpha Innovations,Social Media,Men 18-24,15 days,0.07,11920.46,5.03,Washington,German,1942,3929,4,Outdoor Adventurers,2022-07-15
Alpha Innovations,Influencer,All Ages,60 days,0.13,5705.67,7.21,San Francisco,Mandarin,1427,3382,2,Tech Enthusiasts,2022-07-17
Innovate Industries,Display,All Ages,30 days,0.13,14560.45,4.86,Washington,Spanish,366,7870,3,Health & Wellness,2022-07-11
Innovate Industries,Influencer,Men 25-34,45 days,0.15,14384.93,3.33,Seattle,German,467,10643,3,Tech Enthusiasts,2022-07-15
Innovate Industries,Email,Men 25-34,60 days,0.08,6533.44,5.12,Boston,Spanish,1185,15975,2,Foodies,2022-07-29
Innovate Industries,Influencer,All Ages,30 days,0.1,15364.38,4.64,Washington,Mandarin,1145,15525,5,Outdoor Adventurers,2022-07-29
DataTech Solutions,Email,Women 25-34,60 days,0.11,6003.21,2.53,Washington,Spanish,106,14076,10,Outdoor Adventurers,2022-07-07
DataTech Solutions,Email,Men 25-34,15 days,0.15,17919.5,6.8,Miami,English,625,15067,6,Outdoor Adventurers,2022-07-28
Alpha Innovations,Email,All Ages,60 days,0.07,11377.38,3.19,San Francisco,German,176,1930,1,Foodies,2022-07-08
DataTech Solutions,Email,All Ages,45 days,0.03,6885.63,5.01,Los Angeles,German,1090,16051,4,Fashionistas,2022-07-20
TechCorp,Influencer,Men 25-34,45 days,0.05,15254.89,6.43,Nueva Orleans,Spanish,629,19253,5,Fashionistas,2022-07-12
TechCorp,Social Media,Men 25-34,30 days,0.13,18232.31,7.42,Boston,German,459,1134,5,Health & Wellness,2022-07-06
Innovate Industries,Search,Women 35-44,30 days,0.11,18043.22,6.9,Nueva Orleans,German,989,9502,8,Outdoor Adventurers,2022-07-23
Innovate Industries,Email,Men 25-34,60 days,0.11,6781.87,5.88,Washington,French,308,4811,1,Fashionistas,2022-07-16
DataTech Solutions,Search,Women 25-34,60 days,0.02,8353.57,4.09,Los Angeles,Spanish,1797,14238,4,Health & Wellness,2022-07-05
Alpha Innovations,Influencer,Women 25-34,30 days,0.1,10954.14,5.49,Chicago,English,1524,14450,1,Health & Wellness,2022-07-29
NexGen Systems,Influencer,Men 25-34,45 days,0.05,16056.0,7.16,Seattle,French,1403,15654,8,Tech Enthusiasts,2022-07-03
NexGen Systems,Social Media,Women 25-34,60 days,0.13,5342.38,6.86,Nueva Orleans,Mandarin,1359,3749,6,Tech Enthusiasts,2022-07-10
Alpha Innovations,Display,Men 25-34,15 days,0.04,5291.67,5.19,Los Angeles,Mandarin,1600,10434,6,Fashionistas,2022-07-04
TechCorp,Social Media,Women 25-34,60 days,0.12,17019.14,3.37,Chicago,Mandarin,672,6247,8,Outdoor Adventurers,2022-07-12
Alpha Innovations,Social Media,Men 25-34,60 days,0.12,19475.83,5.94,Nueva Orleans,French,598,12864,3,Outdoor Adventurers,2022-07-30
Alpha Innovations,Social Media,Women 35-44,30 days,0.03,9162.89,7.51,Las Vegas,English,1717,1603,4,Fashionistas,2022-07-13
Innovate Industries,Influencer,Women 25-34,15 days,0.02,15736.45,4.35,San Francisco,Spanish,318,12875,9,Outdoor Adventurers,2022-07-17
Alpha Innovations,Influencer,Men 25-34,60 days,0.13,15543.07,4.07,San Francisco,Spanish,742,4114,4,Health & Wellness,2022-07-25
Alpha Innovations,Social Media,Women 25-34,30 days,0.01,14278.18,7.35,Boston,Spanish,1790,14292,2,Fashionistas,2022-07-01
NexGen Systems,Email,Women 25-34,60 days,0.02,18569.68,4.22,Nueva Orleans,German,614,12598,3,Fashionistas,2022-07-06
Innovate Industries,Influencer,Men 25-34,45 days,0.14,11218.2,5.15,Miami,German,1524,8506,8,Fashionistas,2022-07-01
NexGen Systems,Influencer,All Ages,45 days,0.07,14505.04,4.27,New York,Spanish,1860,6541,10,Outdoor Adventurers,2022-07-07
Innovate Industries,Display,Men 25-34,30 days,0.07,6432.78,6.2,Seattle,Spanish,1883,17484,1,Health & Wellness,2022-07-27
TechCorp,Influencer,Women 25-34,15 days,0.11,10161.72,4.85,Seattle,Mandarin,143,16940,4,Foodies,2022-07-14
Innovate Industries,Social Media,Women 25-34,60 days,0.07,18501.49,3.82,San Francisco,German,1134,10789,8,Foodies,2022-07-20
NexGen Systems,Display,Men 18-24,45 days,0.1,16329.86,6.51,Seattle,French,1250,18027,4,Fashionistas,2022-07-20
TechCorp,Search,Women 25-34,30 days,0.05,18725.87,5.69,Seattle,French,894,17726,8,Foodies,2022-07-02
NexGen Systems,Social Media,Women 35-44,15 days,0.06,19754.27,5.21,Las Vegas,Mandarin,1567,17846,2,Health & Wellness,2022-07-15
NexGen Systems,Social Media,Women 35-44,30 days,0.1,13415.98,2.75,San Francisco,Mandarin,1660,2500,9,Tech Enthusiasts,2022-07-28
Alpha Innovations,Display,All Ages,15 days,0.05,18925.23,7.71,New York,German,472,3623,1,Foodies,2022-07-01
TechCorp,Display,Women 25-34,30 days,0.11,12201.58,6.39,Miami,German,1390,13370,4,Outdoor Adventurers,2022-07-21
Innovate Industries,Email,All Ages,60 days,0.06,9651.57,2.43,Chicago,French,1675,13809,2,Fashionistas,2022-07-07
Innovate Industries,Search,Women 25-34,15 days,0.15,9221.95,4.11,Boston,English,1628,19375,5,Foodies,2022-07-19
Innovate Industries,Display,All Ages,60 days,0.01,5510.48,4.45,Las Vegas,Spanish,1988,8799,1,Foodies,2022-07-17
NexGen Systems,Social Media,Women 25-34,15 days,0.03,5443.45,3.28,Nueva Orleans,English,1801,7227,4,Health & Wellness,2022-07-07
DataTech Solutions,Social Media,Women 35-44,60 days,0.04,8791.38,7.81,San Francisco,French,1427,12060,6,Tech Enthusiasts,2022-07-23
Innovate Industries,Email,All Ages,45 days,0.07,14161.29,4.33,Boston,German,752,8714,5,Tech Enthusiasts,2022-07-29
Innovate Industries,Email,Men 25-34,30 days,0.14,12146.75,3.45,San Francisco,Spanish,761,13422,7,Foodies,2022-07-20
TechCorp,Display,Men 18-24,30 days,0.07,13300.71,7.05,Miami,Mandarin,1499,3649,5,Fashionistas,2022-07-22
TechCorp,Search,Men 25-34,15 days,0.09,7098.54,7.97,Los Angeles,Spanish,841,1621,8,Foodies,2022-07-01
NexGen Systems,Influencer,Men 25-34,15 days,0.09,17105.7,2.84,Miami,French,986,5244,1,Tech Enthusiasts,2022-07-23
TechCorp,Display,Men 18-24,30 days,0.06,18361.89,6.09,San Francisco,Spanish,1555,19046,3,Health & Wellness,2022-07-09
DataTech Solutions,Search,Men 18-24,60 days,0.08,6287.77,5.7,New York,French,1515,13583,1,Tech Enthusiasts,2022-07-20
NexGen Systems,Display,Men 25-34,15 days,0.02,11541.27,7.49,Las Vegas,French,1260,4468,1,Tech Enthusiasts,2022-07-15
TechCorp,Email,Women 25-34,45 days,0.14,8975.89,7.61,Chicago,Mandarin,110,8233,8,Fashionistas,2022-07-12
DataTech Solutions,Influencer,Women 35-44,60 days,0.14,14007.08,6.47,New York,English,845,15419,10,Fashionistas,2022-07-30
Alpha Innovations,Display,All Ages,60 days,0.11,11296.95,5.59,San Francisco,German,1137,10868,5,Tech Enthusiasts,2022-07-19
NexGen Systems,Display,Women 35-44,60 days,0.13,16864.77,5.27,New York,German,1198,6783,1,Health & Wellness,2022-07-09
Innovate Industries,Display,Women 25-34,45 days,0.09,18803.73,6.33,Los Angeles,English,487,2618,2,Health & Wellness,2022-07-15
DataTech Solutions,Search,Women 25-34,30 days,0.14,12919.71,6.61,Washington,English,283,8255,8,Fashionistas,2022-07-21
Innovate Industries,Social Media,Men 18-24,60 days,0.1,6300.67,3.23,New York,English,716,14507,9,Health & Wellness,2022-07-15
TechCorp,Influencer,All Ages,45 days,0.09,12474.74,2.75,Washington,Spanish,1932,6796,4,Outdoor Adventurers,2022-07-15
DataTech Solutions,Search,Women 25-34,30 days,0.09,10839.77,2.2,Los Angeles,English,1024,14585,6,Tech Enthusiasts,2022-07-06
Innovate Industries,Search,Men 25-34,60 days,0.13,16844.53,6.18,San Francisco,English,206,14036,4,Fashionistas,2022-07-28
NexGen Systems,Influencer,All Ages,30 days,0.12,9492.67,7.17,Nueva Orleans,English,995,8488,6,Fashionistas,2022-07-14
Alpha Innovations,Social Media,Men 25-34,45 days,0.05,8142.22,7.04,Boston,English,319,14014,10,Foodies,2022-07-22
DataTech Solutions,Email,Men 25-34,45 days,0.04,19760.33,3.04,Boston,German,1362,16669,1,Outdoor Adventurers,2022-07-19
Alpha Innovations,Influencer,All Ages,45 days,0.02,7248.1,4.96,Miami,Mandarin,597,13388,10,Tech Enthusiasts,2022-07-16
DataTech Solutions,Search,Women 25-34,30 days,0.06,6207.91,3.84,Seattle,German,1735,1868,9,Outdoor Adventurers,2022-07-06
DataTech Solutions,Email,Women 35-44,30 days,0.02,6279.36,7.05,New York,Mandarin,1125,12232,4,Foodies,2022-07-27
Innovate Industries,Search,Women 35-44,45 days,0.14,5662.7,5.92,Seattle,French,889,18155,8,Foodies,2022-07-06
DataTech Solutions,Email,All Ages,45 days,0.11,17110.68,4.23,Boston,English,1099,5027,8,Outdoor Adventurers,2022-07-07
Alpha Innovations,Search,Men 18-24,30 days,0.09,10544.0,6.75,Nueva Orleans,English,1092,1779,10,Tech Enthusiasts,2022-07-22
DataTech Solutions,Search,Men 25-34,60 days,0.05,9452.7,4.31,Seattle,Mandarin,1700,13647,6,Outdoor Adventurers,2022-07-06
NexGen Systems,Search,Women 35-44,15 days,0.05,5743.23,7.62,Nueva Orleans,English,244,17357,6,Tech Enthusiasts,2022-07-25
NexGen Systems,Search,Women 25-34,30 days,0.06,9696.5,2.27,Las Vegas,Mandarin,517,10291,6,Health & Wellness,2022-07-23
Alpha Innovations,Influencer,All Ages,30 days,0.09,6581.84,2.64,Boston,English,1070,12713,6,Foodies,2022-07-30
Alpha Innovations,Display,All Ages,45 days,0.06,19126.68,6.99,Los Angeles,French,931,3679,6,Foodies,2022-07-24
DataTech Solutions,Display,Men 18-24,15 days,0.06,9017.9,7.55,Las Vegas,Mandarin,1403,6010,4,Tech Enthusiasts,2022-07-11
NexGen Systems,Email,Women 25-34,15 days,0.08,9577.29,2.69,Chicago,Mandarin,1733,18206,10,Tech Enthusiasts,2022-07-26
Innovate Industries,Influencer,Women 35-44,60 days,0.14,19303.35,4.19,Washington,Spanish,1218,11311,5,Foodies,2022-07-08
Innovate Industries,Influencer,Men 25-34,15 days,0.08,6787.72,5.67,Boston,German,1418,16663,4,Tech Enthusiasts,2022-07-01
NexGen Systems,Email,All Ages,45 days,0.11,11820.82,6.06,Chicago,French,1238,6705,2,Health & Wellness,2022-07-08
DataTech Solutions,Social Media,Men 18-24,30 days,0.1,7201.19,7.94,Seattle,French,1564,1087,5,Tech Enthusiasts,2022-07-23
Innovate Industries,Display,Women 35-44,15 days,0.09,11714.27,6.53,New York,Mandarin,597,9407,2,Tech Enthusiasts,2022-07-01
Innovate Industries,Display,Women 25-34,15 days,0.1,7779.27,5.61,Seattle,Spanish,1980,8497,2,Foodies,2022-07-05
NexGen Systems,Search,Men 25-34,60 days,0.09,7289.75,7.63,Las Vegas,French,1954,13871,3,Fashionistas,2022-07-06
DataTech Solutions,Search,Women 35-44,30 days,0.05,19037.68,4.78,Los Angeles,English,397,13500,7,Outdoor Adventurers,2022-07-21
DataTech Solutions,Influencer,Men 25-34,15 days,0.13,14748.25,2.01,Washington,German,1919,6589,1,Fashionistas,2022-07-11
Innovate Industries,Social Media,Women 25-34,60 days,0.12,17135.66,6.15,Los Angeles,German,272,17167,7,Outdoor Adventurers,2022-07-28
NexGen Systems,Social Media,Men 25-34,45 days,0.06,15039.63,4.84,Seattle,French,583,9800,6,Foodies,2022-07-01
NexGen Systems,Social Media,Women 25-34,60 days,0.09,14227.51,4.94,Boston,Spanish,632,9075,2,Foodies,2022-07-02
Innovate Industries,Influencer,Men 25-34,15 days,0.07,18119.82,5.34,San Francisco,French,855,10758,6,Health & Wellness,2022-07-27
TechCorp,Search,Men 25-34,45 days,0.14,13454.91,6.69,New York,Mandarin,548,1944,2,Tech Enthusiasts,2022-07-30
DataTech Solutions,Display,Men 25-34,45 days,0.12,8685.3,5.07,Boston,Spanish,838,3684,7,Outdoor Adventurers,2022-07-29
TechCorp,Display,Men 18-24,60 days,0.06,7672.15,3.1,New York,English,656,13879,5,Fashionistas,2022-07-03
Innovate Industries,Search,Women 25-34,30 days,0.01,6454.14,7.13,Seattle,English,1141,7932,6,Outdoor Adventurers,2022-07-22
Alpha Innovations,Search,Women 35-44,60 days,0.1,12853.25,7.25,Miami,French,1038,12734,6,Health & Wellness,2022-07-02
Innovate Industries,Influencer,Women 25-34,30 days,0.02,12461.94,5.84,Miami,Mandarin,1649,15604,6,Outdoor Adventurers,2022-07-27
Alpha Innovations,Social Media,All Ages,15 days,0.07,19803.0,4.87,Nueva Orleans,Spanish,1314,5753,8,Outdoor Adventurers,2022-07-02
Alpha Innovations,Display,Women 25-34,60 days,0.11,5958.38,5.6,New York,German,689,14271,8,Tech Enthusiasts,2022-07-04
NexGen Systems,Email,Men 18-24,60 days,0.11,15122.16,6.55,San Francisco,English,224,5926,9,Health & Wellness,2022-07-17
NexGen Systems,Display,Men 18-24,15 days,0.06,19723.31,6.05,New York,English,1589,12442,9,Tech Enthusiasts,2022-07-01
NexGen Systems,Search,Men 18-24,45 days,0.1,11307.11,2.77,Chicago,Spanish,788,1758,7,Health & Wellness,2022-07-09
DataTech Solutions,Display,All Ages,60 days,0.12,10060.16,2.14,Miami,Spanish,1157,17019,10,Outdoor Adventurers,2022-07-18
NexGen Systems,Search,Women 35-44,60 days,0.14,13874.53,7.49,Los Angeles,German,1968,5191,8,Foodies,2022-07-16
TechCorp,Display,Men 18-24,15 days,0.13,14400.64,2.7,Las Vegas,Mandarin,1352,1296,9,Tech Enthusiasts,2022-07-03
DataTech Solutions,Search,Women 25-34,15 days,0.06,18153.91,5.51,Las Vegas,German,221,18268,6,Tech Enthusiasts,2022-07-20
TechCorp,Search,Women 35-44,60 days,0.04,15405.64,4.0,Las Vegas,French,1897,19842,10,Foodies,2022-07-30
